index,x,y
516,629055.326946,-667277.750204
517,629077.749803,-667265.978336
518,629100.470861,-667254.730745
519,629123.52217,-667244.064465
520,629146.945899,-667234.03885
521,629170.795509,-667224.713067
522,629195.134763,-667216.139529
523,629219.948377,-667208.207337
524,629245.090575,-667200.57085
525,629270.388833,-667192.85081
526,629295.650506,-667184.661282
527,629323.448084,-667179.787622
528,629346.931201,-667167.674503
529,629369.35374,-667153.558331
530,629389.857329,-667136.629724
531,629408.036801,-667116.970099
532,629426.577714,-667098.043561
533,629444.367064,-667078.50653
534,629459.377608,-667056.702358
535,629473.093423,-667034.246728
536,629487.450079,-667012.309167
537,629498.181971,-666988.418142
538,629507.268029,-666963.996772
539,629517.284706,-666939.856337
540,629523.211724,-666914.380427
541,629530.284252,-666889.104019
542,629533.621984,-666863.084361
543,629537.423792,-666837.168734
544,629538.159027,-666811.078804
545,629539.567992,-666785.229948
546,629539.587663,-666759.555084
547,629538.373256,-666734.090241
548,629536.992508,-666708.79666
549,629532.362762,-666683.911856
550,629528.638195,-666659.148297
551,629523.943833,-666634.649842
552,629519.123493,-666610.29258
553,629513.527558,-666586.165917
554,629507.059416,-666562.304262
555,629499.769672,-666538.715836
556,629491.727576,-666515.39945
557,629483.588771,-666492.169575
558,629474.756245,-666469.189964
559,629465.27955,-666446.456094
560,629454.179547,-666424.345193
561,629443.553299,-666402.101916
562,629432.470249,-666380.053747
563,629420.992585,-666358.175003
564,629409.181974,-666336.436577
565,629397.09966,-666314.806248
566,629384.803026,-666293.250759
567,629372.332165,-666271.743416
568,629359.72193,-666250.259481
569,629347.007161,-666228.773934
570,629334.222643,-666207.261657
571,629321.403081,-666185.697625
572,629308.583069,-666164.057099
573,629295.797071,-666142.315817
574,629283.079417,-666120.450186
575,629270.463637,-666098.437882
576,629257.954311,-666076.276103
577,629245.517002,-666053.98967
578,629233.11231,-666031.610206
579,629220.692605,-666009.178039
580,629208.209254,-665986.737104
581,629195.614205,-665964.333287
582,629182.859728,-665942.013951
583,629169.898123,-665919.827487
584,629156.681626,-665897.822685
585,629143.168107,-665876.042286
586,629129.370107,-665854.487891
587,629115.328979,-665833.139366
588,629101.087095,-665811.974329
589,629086.687836,-665790.968391
590,629072.175594,-665770.095432
591,629057.5956,-665749.328001
592,629042.993674,-665728.637787
593,629028.415868,-665707.996172
594,629013.8974,-665687.381906
595,628999.450651,-665666.788889
596,628985.08911,-665646.209788
597,628970.837959,-665625.629288
598,628956.723977,-665605.031055
599,628942.773696,-665584.399066
600,628929.013522,-665563.717625
601,628915.469836,-665542.971394
602,628902.169088,-665522.145439
603,628889.137871,-665501.225284
604,628876.402985,-665480.19698
605,628863.991501,-665459.047173
606,628851.93081,-665437.76319
607,628840.248667,-665416.333122
608,628828.487637,-665394.97638
609,628817.861053,-665373.115238
610,628807.714305,-665351.079476
611,628798.078153,-665328.862111
612,628788.979808,-665306.459152
613,628780.255239,-665283.938654
614,628771.997442,-665261.263462
615,628764.298879,-665238.403503
616,628757.164452,-665215.36223
617,628750.588469,-665192.145139
618,628745.305022,-665168.570023
619,628740.077899,-665144.971949
620,628735.114895,-665121.27064
621,628730.683595,-665097.394001
622,628726.77555,-665073.336719
623,628723.382248,-665049.094679
624,628721.390595,-665024.586018
625,628719.28245,-664999.996206
626,628717.676516,-664975.258111
627,628716.506598,-664950.384347
628,628715.651383,-664925.383882
629,628715.282902,-664900.260823
630,628715.395337,-664875.029268
631,628717.254773,-664849.768154
632,628718.616099,-664824.409051
633,628720.432297,-664798.997074
634,628722.687289,-664773.546796
635,628725.365046,-664748.072669
636,628728.449656,-664722.589041
637,628731.925389,-664697.110187
638,628735.776764,-664671.650334
639,628739.988595,-664646.223699
640,628744.388247,-664620.813233
641,628749.113514,-664595.458815
642,628754.154425,-664570.175672
643,628759.49648,-664544.978175
644,628765.125522,-664519.88076
645,628771.027722,-664494.897941
646,628777.189277,-664470.044486
647,628783.594274,-664445.335133
648,628790.226279,-664420.772329
649,628797.070591,-664396.351509
650,628804.113028,-664372.067996
651,628811.338944,-664347.917459
652,628818.733319,-664323.895678
653,628826.280862,-664299.998316
654,628833.966123,-664276.220681
655,628841.773603,-664252.55751
656,628849.687884,-664229.002744
657,628857.693761,-664205.549319
658,628865.776378,-664182.188956
659,628873.921387,-664158.91195
660,628882.115091,-664135.706966
661,628890.344606,-664112.560821
662,628898.597509,-664089.458115
663,628906.845018,-664066.376014
664,628915.037543,-664043.28379
665,628923.124635,-664020.149692
666,628931.05614,-663996.941654
667,628938.782038,-663973.627593
668,628946.252298,-663950.175717
669,628953.416749,-663926.55484
670,628960.224953,-663902.734699
671,628966.625686,-663878.686595
672,628975.092148,-663854.737296
673,628980.157147,-663830.098776
674,628984.595959,-663805.242097
675,628988.371691,-663780.190048
676,628991.555631,-663754.97321
677,628995.519918,-663729.651833
678,628996.759795,-663704.134477
679,628997.179408,-663678.551862
680,628996.794949,-663652.938389
681,628995.333062,-663627.344354
682,628992.90414,-663601.812784
683,628989.836013,-663576.353721
684,628986.175103,-663550.98344
685,628981.967409,-663525.713583
686,628975.507043,-663500.8649
687,628969.956348,-663475.934327
688,628963.999779,-663451.129038
689,628957.612235,-663426.458083
690,628950.761482,-663401.933951
691,628941.486828,-663378.174236
692,628933.638326,-663354.038098
693,628925.294888,-663330.076566
694,628916.421162,-663306.307325
695,628906.985774,-663282.755611
696,628896.962447,-663259.453337
697,628886.323047,-663236.430133
698,628873.455809,-663214.55588
699,628861.646894,-663192.148541
700,628849.302217,-663170.018548
701,628836.271327,-663148.275499
702,628822.591043,-663126.92762
703,628808.316893,-663105.96859
704,628793.50312,-663085.389074
705,628778.202619,-663065.177091
706,628761.642919,-663045.931856
707,628745.710818,-663026.283348
708,628729.433548,-663006.952251
709,628712.859654,-662987.919735
710,628696.036293,-662969.165907
711,628679.009445,-662950.669565
712,628661.823014,-662932.405065
713,628644.512713,-662914.338579
714,628627.107114,-662896.437767
715,628609.625885,-662878.67818
716,628592.086573,-662861.035404
717,628574.506147,-662843.483607
718,628556.900857,-662825.995535
719,628539.286087,-662808.542548
720,628521.676179,-662791.094679
721,628504.074797,-662773.630338
722,628486.454726,-662756.158205
723,628468.783204,-662738.693742
724,628451.028229,-662721.253142
725,628433.15867,-662703.853287
726,628415.144354,-662686.511736
727,628396.956117,-662669.246718
728,628378.566096,-662652.077566
729,628359.952239,-662635.031039
730,628341.110381,-662618.154671
731,628322.04702,-662601.500544
732,628302.768545,-662585.11531
733,628283.289775,-662569.026919
734,628263.63586,-662553.236977
735,628243.825736,-662537.737003
736,628223.869282,-662522.507894
737,628203.765529,-662507.517977
738,628183.500862,-662492.720957
739,628163.052246,-662478.048628
740,628142.474527,-662463.324786
741,628118.398602,-662451.424789
742,628098.285212,-662435.337225
743,628078.653983,-662418.331168
744,628057.500306,-662401.738599
745,628040.177798,-662381.759429
746,628024.068297,-662360.596844
747,628009.885863,-662338.056416
748,627994.928011,-662315.600906
749,627981.041177,-662292.274905
750,627967.447459,-662268.43753
751,627954.016501,-662244.09463
752,627945.200289,-662218.029689
753,627941.534956,-662190.663621
754,627938.448317,-662163.373409
755,627941.696171,-662135.37609
756,627942.083935,-662108.206348
757,627949.112901,-662080.954464
758,627951.719446,-662054.43602
759,627958.22052,-662028.309743
760,627961.380516,-662002.415033
761,627965.366325,-661976.745216
762,627970.253422,-661951.329268
763,627977.840837,-661926.582052
764,627984.061222,-661901.707471
765,627991.481218,-661877.201183
766,628000.182485,-661853.155675
767,628011.544176,-661830.252886
768,628022.372692,-661807.261786
769,628034.525338,-661784.953479
770,628047.904725,-661763.355634
771,628063.325262,-661743.086428
772,628078.877144,-661723.013518
773,628094.971222,-661703.369937
774,628111.859535,-661684.364023
775,628129.423219,-661665.943544
776,628147.849454,-661648.333942
777,628166.599153,-661631.07592
778,628185.683186,-661614.184377
779,628205.031199,-661597.593718
780,628224.622082,-661581.29054
781,628244.383924,-661565.199902
782,628264.240369,-661549.229852
783,628284.306788,-661533.551001
784,628303.959965,-661517.212506
785,628324.670504,-661502.432354
786,628345.711388,-661488.170832
787,628367.108871,-661474.499328
788,628388.882361,-661461.492092
789,628411.044107,-661449.225797
790,628433.518009,-661437.593488
791,628456.242728,-661426.484031
792,628479.608031,-661416.963249
793,628503.276224,-661408.345873
794,628527.211501,-661400.636271
795,628551.378944,-661393.837615
796,628575.995106,-661388.999645
797,628600.538385,-661384.251091
798,628625.151199,-661380.132409
799,628649.866843,-661376.898549
800,628674.659601,-661374.555442
801,628699.605331,-661374.42362
802,628724.448453,-661374.214014
803,628749.271118,-661374.866571
804,628774.062719,-661375.892959
805,628798.822793,-661377.756594
806,628823.534959,-661380.423051
807,628848.188513,-661383.857772
808,628872.642876,-661388.91383
809,628897.093595,-661393.969481
810,628921.452817,-661399.682851
811,628945.728321,-661405.963673
812,628969.974276,-661412.569739
813,628994.125585,-661419.752937
814,629018.176424,-661427.480396
815,629042.121524,-661435.719522
816,629065.956099,-661444.438039
817,629089.67577,-661453.604031
818,629113.276485,-661463.185985
819,629136.735698,-661473.196141
820,629159.99755,-661483.712103
821,629183.113708,-661494.567252
822,629206.078335,-661505.735277
823,629228.885217,-661517.190614
824,629251.52768,-661528.908494
825,629274.054649,-661540.76544
826,629296.402056,-661552.845183
827,629318.547946,-661565.147038
828,629340.480098,-661577.668911
829,629362.200653,-661590.415957
830,629383.712653,-661603.39317
831,629405.018374,-661616.604655
832,629426.119396,-661630.053697
833,629447.016661,-661643.742857
834,629467.710537,-661657.674071
835,629488.200872,-661671.84873
836,629508.487059,-661686.267773
837,629528.568093,-661700.931771
838,629548.442634,-661715.841007
839,629568.109068,-661730.995557
840,629587.565566,-661746.395375
841,629606.810154,-661762.040362
842,629625.84077,-661777.930454
843,629644.65533,-661794.065689
844,629663.251798,-661810.44629
845,629681.62921,-661827.07165
846,629699.79872,-661843.92824
847,629717.780005,-661860.99424
848,629735.593512,-661878.248307
849,629753.260257,-661895.669678
850,629770.801765,-661913.238096
851,629788.240006,-661930.933741
852,629805.59734,-661948.737164
853,629822.896457,-661966.629216
854,629840.160315,-661984.59098
855,629857.412607,-662002.603128
856,629874.685983,-662020.636854
857,629892.020423,-662038.655291
858,629909.456013,-662056.620972
859,629927.032562,-662074.495888
860,629944.789833,-662092.241313
861,629962.767582,-662109.816447
862,629980.997724,-662127.173872
863,629999.5051,-662144.265629
864,630018.298682,-662161.058523
865,630037.379864,-662177.526078
866,630056.748843,-662193.641605
867,630076.404834,-662209.378234
868,630096.346235,-662224.708971
869,630116.570809,-662239.606757
870,630137.075854,-662254.044528
871,630157.858386,-662267.995268
872,630178.915312,-662281.432066
873,630200.243604,-662294.328167
874,630222.339485,-662305.825046
875,630244.272284,-662317.389346
876,630266.417397,-662328.408593
877,630288.759469,-662338.900656
878,630311.289183,-662348.886226
879,630333.981345,-662358.444097
880,630356.771668,-662367.78253
881,630379.875747,-662376.405118
882,630403.130882,-662384.740517
883,630426.583896,-662392.688299
884,630450.23047,-662400.271119
885,630474.064616,-662407.510832
886,630498.07878,-662414.428543
887,630522.263943,-662421.044667
888,630546.609723,-662427.378972
889,630571.104476,-662433.45063
890,630595.735397,-662439.278257
891,630620.488617,-662444.879956
892,630645.349306,-662450.273346
893,630670.301765,-662455.475603
894,630695.329529,-662460.503478
895,630720.415721,-662465.371407
896,630745.545883,-662470.069748
897,630770.706498,-662474.572558
898,630795.883172,-662478.853515
899,630821.061137,-662482.886558
900,630846.2258,-662486.646239
901,630871.36423,-662490.109335
902,630896.470198,-662493.263431
903,630921.547204,-662496.105004
904,630946.598605,-662498.628167
905,630971.628214,-662500.826509
906,630996.640775,-662502.696825
907,631021.637166,-662504.279364
908,631046.615079,-662505.647306
909,631071.572405,-662506.87431
910,631096.507008,-662508.033624
911,631121.416411,-662509.198043
912,631146.297468,-662510.439869
913,631171.146046,-662511.830884
914,631195.956707,-662513.442334
915,631220.722378,-662515.344908
916,631245.434038,-662517.608736
917,631270.080389,-662520.303373
918,631294.649879,-662523.48556
919,631319.137915,-662527.164729
920,631343.541463,-662531.339069
921,631367.857168,-662536.00686
922,631392.081427,-662541.166485
923,631416.210471,-662546.816445
924,631440.240442,-662552.955365
925,631464.169068,-662559.575235
926,631487.997146,-662566.645301
927,631511.724016,-662574.129347
928,631535.352718,-662581.991345
929,631558.890381,-662590.195922
930,631582.345197,-662598.707916
